mm_gene	hg_gene	MEL	CH12	K562	GM12878	q_M	q_C	q_K	q_G
Abcc9	ABCC9	0.0572381735588716	0.0274158053046618	0.0826055626803033	0.0194539165027154	1	1	1	1
NULL	ABCD1	0	0	0.294618857366104	0.262030049534869	0	0	2	2
Abcd2	ABCD2	0.30407643777322	0.216867933910598	0.0587801062395373	1.51937490508045	2	2	1	3
Abcd3	ABCD3	26.1277494422031	31.9319201423637	156.963249356058	116.148064100508	4	4	5	5
Abcd4	ABCD4	15.2202402749508	25.2548426892093	13.8995167699954	21.4951073314997	4	4	4	4
Abce1	ABCE1	132.457292707461	120.595709193212	153.198250426919	107.257437222985	5	5	5	5
Abcf1	ABCF1	281.401549445575	241.786907415021	680.679246719075	420.801316919548	5	5	5	5
Abcf2	ABCF2	336.283801609903	241.331635215287	554.584795265361	246.136811184545	5	5	5	5
Abcf3	ABCF3	75.36020551566	90.9143069439791	131.958834464016	110.460185056169	5	5	5	5
Abcg1	ABCG1	25.1736581224043	5.20632844016664	1.3619828403408	12.8309951838623	4	3	3	4
Abcg2	ABCG2	1.20476520744183	1.53201204049449	1.04235928184246	0.969265026082125	3	3	3	3
Abcg4	ABCG4	0.594897553390494	0.10479430477788	0	0	2	1	0	0
Abcg5	ABCG5	0	0.0634257263978799	0.0651041424778094	0	0	1	1	0
Abcg8	ABCG8	0.0153582613783908	0	0	0.0380321867875548	1	0	0	1
NULL	ABHD1	0	0	0.165807692187108	0.138498618594424	0	0	2	2
Abhd10	ABHD10	31.2435965482282	38.0302472211312	10.1420672103184	17.3688413009431	4	4	4	4
Abhd11	ABHD11	33.3121498779136	26.361861989541	48.3728777391249	23.6202254877823	4	4	5	4
NULL	ABHD12	0	0	0.606267147563019	1.20101206883337	0	0	2	3
NULL	ABHD12B	0	0	0.116259303263021	0	0	0	1	0
Abhd13	ABHD13	14.9264477415221	10.8935793596259	11.081317169325	16.8018132164367	4	4	4	4
Abhd14a	ABHD14A	15.123918611446	10.3623203501343	20.7354047880731	16.0249571776456	4	4	4	4
NULL	ABHD14A-ACY1	0	0	0	0	0	0	0	0
Abhd14b	ABHD14B	36.3016621261324	34.7721369200339	21.9614448682839	23.4307251217988	4	4	4	4
Abhd15	ABHD15	3.77901234500296	1.43204311583624	2.30991446625446	2.74642999831907	3	3	3	3
NULL	ABHD16A	0	0	1.2764112094833	0.50703667298641	0	0	3	2
NULL	ABHD16B	0	0	0.682730353785424	0.537999303982001	0	0	3	2
NULL	ABHD17A	0	0	1.29569712167618	1.65779236037928	0	0	3	3
NULL	ABHD17B	0	0	0.459561632415343	0.586323339694674	0	0	2	2
NULL	ABHD17C	0	0	0.0299121405820846	0.172272342719103	0	0	1	2
Abhd2	ABHD2	63.5193922745286	62.9727240065158	30.8012207331095	14.9216511261553	5	5	4	4
Abhd3	ABHD3	2.03935910196355	1.83467914212545	2.6031765990964	1.98333080885029	3	3	3	3
Abhd4	ABHD4	28.2636135475113	23.8270005940213	25.0290659222289	36.4266974278485	4	4	4	4
Abhd5	ABHD5	141.599646321421	84.5939073421168	16.3650868725331	5.0659436154962	5	5	4	3
Abhd6	ABHD6	0.281422463167628	107.050228981322	3.70370954169002	7.01658485540511	2	5	3	3
Abhd8	ABHD8	29.1183836671155	8.69471910943985	12.2647308203233	23.1112295670614	4	3	4	4
Abi1	ABI1	58.7239110562959	67.8886821832457	45.6087946395453	67.1125666004011	5	5	4	5
Abi2	ABI2	25.8235114624374	13.5022292908932	12.5266925552164	18.7771784330686	4	4	4	4
Abi3	ABI3	1.13500329143774	6.0024218295904	0.480966376035622	71.8829563590313	3	3	2	5
Abi3bp	ABI3BP	0.484135622924871	0.711425977256648	0.11831370958587	0.306025859882103	2	2	1	2
Abl1	ABL1	47.560578114576	29.1240627367858	81.5744769868403	31.6069464654807	4	4	5	4
Abl2	ABL2	11.4849083521134	12.0564781373545	16.7554675376783	8.77542175100719	4	4	4	4
Ablim1	ABLIM1	0.0706787630323184	8.28105014022751	0.846300382500434	77.4855960305628	1	3	3	5
Ablim2	ABLIM2	0	0	0	0.0724500426796626	0	0	0	1
Ablim3	ABLIM3	0.170985833123935	0.598292406597587	2.21742520031681	0.0545971875919578	2	2	3	1
NULL	ABO	0	0	1.49461409727628	0.0272065641961211	0	0	3	1
NULL	ABP1	0	0	0	0	0	0	0	0
Abr	ABR	12.1376594843261	51.3122089935065	5.66543074021804	96.3133842394382	4	4	3	5
Abra	ABRA	0.0204008173316106	0.298875103537743	0	0.107545742213854	1	2	0	1
NULL	ABRACL	0	0	0.206514232996008	3.31360496782638	0	0	2	3
Abt1	ABT1	28.4520228778643	27.8259160780733	75.0627966783366	56.3559008375662	4	4	5	5
Abtb1	ABTB1	0.722320086059986	1.1758074431339	0.474053534756873	1.9875523609375	3	3	2	3
Abtb2	ABTB2	0.202895835575992	6.62585064651434	0.411294374264591	3.52296360219897	2	3	2	3
NULL	AC2	0	0	0	0	0	0	0	0
NULL	ACAA1	0	0	1.55238861393253	1.47489556354139	0	0	3	3
Acaa2	ACAA2	170.666476311434	88.0023883203913	78.5927675411894	134.802600853563	5	5	5	5
Acaca	ACACA	743.846369724956	897.033967650652	101.700308181368	42.938189222523	5	5	5	4
Acacb	ACACB	2.63304702536357	5.75292233775483	6.30901596626144	2.46595388560983	3	3	3	3
NULL	ACAD10	0	0	1.20374164409209	1.527150515181	0	0	3	3
Acad11	ACAD11	19.5404735390938	11.768159048856	10.4106302519916	24.3949467408868	4	4	4	4
Acad8	ACAD8	22.5111786436322	18.9119147286872	31.1917815883278	30.3228655411617	4	4	4	4
Acad9	ACAD9	36.2883760809997	50.6888232792714	72.5211465238159	77.8214866714322	4	4	5	5
Acadl	ACADL	0.0634235029181694	2.19940685337933	0	0	1	3	0	0
Acadm	ACADM	93.0093838062256	252.327518021115	102.72436440081	134.366661640575	5	5	5	5
Acads	ACADS	51.0149654824878	53.8276450454464	46.867682222914	66.8478701867376	4	5	4	5
Acadsb	ACADSB	60.3006630416333	30.4606951475423	4.55971456455977	14.2175736274315	5	4	3	4
Acadvl	ACADVL	131.989501703196	138.766627844242	136.884845521747	147.120542384625	5	5	5	5
Acan	ACAN	0.00406005098035647	0.00797552719936831	0	0	1	1	0	0
Acap1	ACAP1	27.2714424923806	62.4543043622718	11.4059148666571	147.437602307789	4	5	4	5
Acap2	ACAP2	26.2988882392269	31.1609445534845	28.8011381845518	29.1134101169257	4	4	4	4
Acap3	ACAP3	43.5427844358982	25.2055060529326	52.180328900401	49.0504052968613	4	4	5	5
Acat1	ACAT1	68.7406280873192	57.9428402009191	223.683678781895	161.402999910477	5	5	5	5
NULL	ACAT2	0	0	2.44290375834885	2.31803898757876	0	0	3	3
Acbd3	ACBD3	38.6724944649516	32.7406558490717	38.3261098685371	39.1827073208721	4	4	4	4
Acbd4	ACBD4	8.61112502883251	27.1787605678971	13.7065351249065	22.7229005253741	3	4	4	4
Acbd5	ACBD5	11.1728493553825	15.2573841236833	11.241791188616	16.3575617507371	4	4	4	4
Acbd6	ACBD6	311.103737544262	240.021969026343	207.311608890386	141.378199179589	5	5	5	5
Acbd7	ACBD7	14.78710612317	1.16152064951843	0.652224710275321	0.368399042587376	4	3	2	2
Accs	ACCS	13.3499924385485	18.6542433689077	16.6317225596407	15.607879894797	4	4	4	4
Accsl	ACCSL	0	0.306336267551461	0.082916470441907	0.216039611828747	0	2	1	2
Acd	ACD	31.2630865804102	29.3704253934182	46.0942550473078	46.4899222710361	4	4	4	4
Ace	ACE	0.0739290163495893	0	0.290245977000239	0.0160294375576555	1	0	2	1
Ace2	ACE2	0.0194208979980052	0.0393636192174335	0.0784872423425152	0	1	1	1	0
Acer1	ACER1	0.0607572685910309	0.0435720615792371	0	0	1	1	0	0
Acer2	ACER2	1.69723847306484	0.35722699424082	2.2192168238504	3.25449111506833	3	2	3	3
Acer3	ACER3	12.5275049040603	5.5147313141038	10.0185555744346	6.71525380561898	4	3	4	3
Ache	ACHE	38.3883538136877	1.89930895358282	4.25971033408013	7.38458421844128	4	3	3	4
Acin1	ACIN1	349.826309277425	363.942282204936	274.106645465577	262.189606660965	5	5	5	5
Acly	ACLY	914.819750805653	1078.34861335875	377.682638437186	294.039768344058	5	5	5	5
Acmsd	ACMSD	0.301781287480791	0.0560628355982455	0	0	2	1	0	0
Acn9	ACN9	83.8670778994134	85.0898020143479	31.260320941782	10.1607475452101	5	5	4	4
Aco1	ACO1	39.1331536642616	28.1075254338411	58.5191246424407	35.7119777934954	4	4	5	4
Aco2	ACO2	342.892519503617	235.601993659857	318.927678780225	324.742250199966	5	5	5	5
NULL	ACOT1	0	0	0.0274483055154462	0.558194092262705	0	0	1	2
Acot11	ACOT11	1.33057072465554	2.54347772791455	2.98434199518722	3.45281546018501	3	3	3	3
Acot12	ACOT12	0.0225768426244929	0.26399752428853	0	0.27570958649196	1	2	0	2
Acot13	ACOT13	231.674265983522	185.175329241627	39.7103209406762	20.9853631935894	5	5	4	4
NULL	ACOT2	0	0	0.0249097737062482	1.10533536390008	0	0	1	3
Acot4	ACOT4	0.229451536343396	0	0	0.797500798461242	2	0	0	3
Acot6	ACOT6	0.577347162322755	0.0323592467799785	0	0	2	1	0	0
Acot7	ACOT7	133.650466239962	119.099067502515	153.704733495319	147.69012734497	5	5	5	5
Acot8	ACOT8	40.77751235828	27.3731525027218	40.6719130922084	42.3043562971339	4	4	4	4
NULL	ACOT9	0	0	2.33070111749351	1.36112658011116	0	0	3	3
Acox1	ACOX1	30.333676973302	35.8981947744102	15.3032314678137	15.6587426114983	4	4	4	4
Acox2	ACOX2	0.0148697847505466	0	0	0	1	0	0	0
Acox3	ACOX3	12.4106585126969	29.0889884430942	20.345681375104	43.9471072661664	4	4	4	4
Acoxl	ACOXL	0.310734887295558	0.225983933516143	0	2.19382315245055	2	2	0	3
Acp1	ACP1	102.73491616783	144.232717051204	961.558810218918	780.366312009741	5	5	5	5
Acp2	ACP2	14.897887290114	5.76014783295495	25.0771326782781	21.2340389712178	4	3	4	4
Acp5	ACP5	55.8463190166703	2.53637903741168	3.82260108907401	38.0953644028011	5	3	3	4
Acp6	ACP6	37.7453965343682	8.59633525148516	6.67106860604919	57.1664505360966	4	3	3	5
Acpl2	ACPL2	3.86439517174929	3.81061135920986	5.43815118060261	3.26117200762406	3	3	3	3
Acpp	ACPP	0.0286894392863522	0.335292950065156	0.795362558017936	0	1	2	3	0
Acpt	ACPT	0.432638406766087	1.12693691319678	0.818198327359357	0.66064918249065	2	3	3	3
Acr	ACR	0.0927004680527899	0	0	0	2	0	0	0
Acrbp	ACRBP	1.71819210366195	1.90762284687441	20.0347364938443	15.0627964716052	3	3	4	4
NULL	ACRC	0	0	0.218956230563003	0.16212767533246	0	0	2	2
NULL	ACRV1	0	0	0.181542741327256	0.122303555311204	0	0	2	1
Acsbg1	ACSBG1	2.82302666997568	7.58907056075792	5.92098911982397	3.89650368518421	3	3	3	3
Acsbg2	ACSBG2	0.10288049685736	0	0.111607326098533	0.0749390984190641	2	0	1	1
Acsf2	ACSF2	17.3275049818509	32.8549364828626	27.2507770603623	51.9212821094277	4	4	4	5
Acsf3	ACSF3	51.8430130202334	29.0524816166313	16.9220235004835	23.2074401609693	4	4	4	4
Acsl1	ACSL1	84.2795186204729	63.2309988091951	109.688646419395	161.391481025055	5	5	5	5
Acsl3	ACSL3	48.0017883149742	26.8870744245589	52.2370941154728	25.18806621097	4	4	5	4
Acsl4	ACSL4	29.3576929053819	26.2731542871639	29.8023502041198	31.7937570216191	4	4	4	4
Acsl5	ACSL5	107.468801542249	81.0883170954858	31.6837069419347	330.737392643272	5	5	4	5
Acsl6	ACSL6	0.676927578581729	17.8198717790801	15.6796079586333	0.568140469710755	3	4	4	2
Acsm1	ACSM1	0	0.429881356400399	0.532201583923815	0.121729353235862	0	2	2	1
NULL	ACSM2A	0	0	0.0223854175238158	0	0	0	1	0
NULL	ACSM2B	0	0	0.0868034433885867	0	0	0	1	0
Acsm3	ACSM3	5.55676321489955	3.82443818057154	37.6539031245247	2.4818406488666	3	3	4	3
Acsm4	ACSM4	0.0966463875476213	0.178479126960171	0.246657080351598	0.140641242958399	2	2	2	2
Acsm5	ACSM5	0	0.0946562784073332	0.105979323135757	0	0	1	1	0
Acss1	ACSS1	20.0280168593812	1.04028184425107	0.535902103215519	25.6100187582671	4	3	2	4
Acss2	ACSS2	31.1711208490236	12.7169852752871	47.1602732977446	16.8284530117731	4	4	4	4
Acss3	ACSS3	0.0202187513744717	0	0	0.0242518595113321	1	0	0	1
Acta1	ACTA1	0.335265659489627	0.48540240341965	0.303337475302692	0.613290370912021	2	2	2	3
Acta2	ACTA2	0.879293988190255	4.78071392010916	0.671388904186006	13.6497167527086	3	3	2	4
Actb	ACTB	3660.38633213822	6553.63220042095	3442.46398682258	9132.15519958268	5	5	5	5
Actbl2	ACTBL2	0	0	0	0.0374319810608381	0	0	0	1
Actc1	ACTC1	0	0	0.0310470631814752	0.0307784103629262	0	0	1	1
Actg1	ACTG1	4535.36118931656	10359.590592886	5314.83968272871	11882.733665733	5	5	5	5
NULL	ACTG1P4	0	0	0.0571105308613456	0.0346651319099777	0	0	1	1
Actg2	ACTG2	0.291401899146467	3.61707343223621	0.401958769909492	0.78631871313965	2	3	2	3
NULL	ACTL10	0	0	0.0665822611135069	0.189254639301401	0	0	1	2
Actl6a	ACTL6A	164.157957370425	119.197595581032	237.165446810962	117.893747564676	5	5	5	5
Actl6b	ACTL6B	0.156343230660811	0.0992993390935375	0.185931507357078	0.107501360631848	2	1	2	1
Actl7a	ACTL7A	0.0635881997112054	0.043677030198042	0	0	1	1	0	0
Actl7b	ACTL7B	0.0486021032954082	0.198213677245113	0	0.214725549601569	1	2	0	2
NULL	ACTL8	0	0	0.307024984220211	0	0	0	2	0
4921517D21Rik	ACTL9	0.0210561874155079	0	0.117671473570658	0	1	0	1	0
Actn1	ACTN1	146.164897227988	72.7622400900265	107.641389153881	11.0668041632952	5	5	5	4
NULL	ACTN1-AS1	0	0	0	0	0	0	0	0
Actn2	ACTN2	0.229918872530813	0.172533654417069	0.376200344574819	0.05476101978168	2	2	2	1
NULL	ACTN3	0	0	0.0342011073301048	0.13961053909859	0	0	1	2
Actn4	ACTN4	416.537043741675	319.897343948753	501.849848745597	308.366947333796	5	5	5	5
Actr10	ACTR10	24.0775482938502	16.6679845064945	44.3185520624071	33.0486210362956	4	4	4	4
Actr1a	ACTR1A	9.1343246683595	9.72963310285941	10.5728601146562	9.54209023091824	4	4	4	4
Actr1b	ACTR1B	152.932544146371	137.66358691432	148.878967546849	147.645305448814	5	5	5	5
Actr2	ACTR2	352.728446497728	471.17614963525	228.588449415305	253.819638678657	5	5	5	5
Actr3	ACTR3	340.347817266044	458.266260592308	169.855779571779	202.92352863703	5	5	5	5
NULL	ACTR3B	0	0	0.613305867658464	0.339696787428106	0	0	2	2
NULL	ACTR3BP2	0	0	0	0	0	0	0	0
NULL	ACTR3BP5	0	0	0.118728550039365	0.0478718007683612	0	0	1	1
NULL	ACTR3C	0	0	0.851696484243516	0.256172213064193	0	0	3	2
Actr5	ACTR5	35.8926408664234	36.0168938352532	35.0535659990555	26.8259849990041	4	4	4	4
Actr6	ACTR6	27.6585444944499	27.5900220812688	24.1718147515995	17.445749797552	4	4	4	4
Actr8	ACTR8	61.4607716694544	53.5622667521611	38.538031611953	55.0005808922093	5	5	4	5
Actrt1	ACTRT1	0	0	0	0	0	0	0	0
Actrt2	ACTRT2	0	0	0	0.0647333606762724	0	0	0	1
NULL	ACTRT3	0	0	0.0447032271459021	0.139506427253344	0	0	1	2
Acvr1	ACVR1	0	0.375961250161423	1.08286240889725	0.0475695523777073	0	2	3	1
Acvr1b	ACVR1B	13.095466144165	3.954341280036	44.8147862086319	5.77681977097381	4	3	4	3
Acvr1c	ACVR1C	0	0.243242634963426	0.140470631604293	0.0198333699199156	0	2	2	1
Acvr2a	ACVR2A	4.07345775153987	2.49678896268027	5.20908733535257	2.76408621681193	3	3	3	3
Acvr2b	ACVR2B	10.0906728978619	4.4454160623152	1.54754369904739	0.656349502378042	4	3	3	3
NULL	ACVR2B-AS1	0	0	0.103435600297363	0.0475964153921381	0	0	1	1
Acvrl1	ACVRL1	0.303610636174958	5.20174971393419	3.68755811059623	0.381999311317328	2	3	3	2
NULL	ACY1	0	0	0.178491173164166	0.0682394711779282	0	0	2	1
Acy3	ACY3	4.64679428551395	0.411165858161999	0	14.1045453231997	3	2	0	4
Acyp1	ACYP1	53.5760994604359	20.8909662553494	46.7959732586824	25.5070337464153	5	4	4	4
Acyp2	ACYP2	28.8809969781104	7.22755019473302	5.48730074941809	10.1324398615285	4	3	3	4
NULL	AD 1	0	0	29.8927439777777	43.6372202593158	0	0	4	4
Ada	ADA	74.737989873739	47.4302622336365	28.432469962432	179.369464060698	5	4	4	5
Adad1	ADAD1	0	0	0	0	0	0	0	0
Adad2	ADAD2	0.0852944316250428	0	0	0.111743510296822	1	0	0	1
Adal	ADAL	20.8777113419714	13.2493487941826	52.8280858244469	24.7070454779611	4	4	5	4
Adam10	ADAM10	70.8333846777363	34.7942355252123	71.3125111583488	60.1615823606309	5	4	5	5
Adam11	ADAM11	0.397085376596014	0.0738566631687969	0.150604447671917	0.270452878098567	2	1	2	2
Adam12	ADAM12	0.0109332832599393	0.0318556361577023	0	0.0619549159245627	1	1	0	1
Adam15	ADAM15	76.7636530843393	63.5245953069041	34.4264652689287	12.6135063416595	5	5	4	4
Adam17	ADAM17	19.1514278651971	37.0571844017577	43.6009963726511	32.2111821776705	4	4	4	4
Adam18	ADAM18	0	0	0	0.077940861720071	0	0	0	1
Adam19	ADAM19	0.964138084619811	12.8903796517233	2.81001677006742	29.4385759248631	3	4	3	4
NULL	ADAM1A	0	0	0.257031495958795	0.256467160844947	0	0	2	2
Adam2	ADAM2	0	0	0	0	0	0	0	0
NULL	ADAM20	0	0	0	0.0594336540602312	0	0	0	1
NULL	ADAM20P1	0	0	0.023131715221382	0.0853042464352349	0	0	1	1
Adam21	ADAM21	0.110746908990739	0.0965317442068066	0.115566463862444	0.140563404188034	2	1	1	2
NULL	ADAM21P1	0	0	0	0	0	0	0	0
Adam22	ADAM22	1.46998326177904	0.0790459986853874	1.35741347461385	14.8066418206877	3	1	3	4
Adam23	ADAM23	0.213935017522262	0	0.00905482294838051	0.660300373741046	2	0	1	3
Adam28	ADAM28	0.123095694930035	0	0	0.313833886364996	2	0	0	2
Adam29	ADAM29	0	0	0	0.0184853746394101	0	0	0	1
Adam30	ADAM30	0.0154613812232402	0	0	0	1	0	0	0
Adam32	ADAM32	0.219474354525608	0.139545100839921	0.168980653862532	0.179867710819256	2	2	2	2
Adam33	ADAM33	0.0525948222602966	0	0	0	1	0	0	0
NULL	ADAM3A	0	0	0.100097761387295	0	0	0	1	0
NULL	ADAM5	0	0	0	0	0	0	0	0
