A1BG	A1bg
ASTE1	Aste1
ASTL	Astl
ASTN1	Astn1
ASTN2	Astn2
ASXL1	Asxl1
ASXL2	Asxl2
ASXL3	Asxl3
ASZ1	Asz1
ATAD1	Atad1
ATAD2	Atad2
ATAD2B	Atad2b
ATAD5	Atad5
ATAT1	Atat1
ATCAY	Atcay
ATE1	Ate1
ATF1	Atf1
ATF2	Atf2
ATF3	Atf3
ATF4	Atf4
ATF5	Atf5
ATF6	Atf6
ATF6B	Atf6b
ATF7	Atf7
ATF7IP	Atf7ip
ATF7IP2	Atf7ip2
ATG10	Atg10
ATG12	Atg12
ATG13	Atg13
ATG14	Atg14
ATG16L1	Atg16l1
ATG16L2	Atg16l2
ATG2A	Atg2a
ATG2B	Atg2b
ATG3	Atg3
ATG4A	Atg4a
ATG4B	Atg4b
ATG4C	Atg4c
ATG4D	Atg4d
ATG5	Atg5
ATG7	Atg7
ATG9A	Atg9a
ATG9B	Atg9b
ATHL1	Athl1
ATIC	Atic
ATL1	Atl1
ATL2	Atl2
ATL3	Atl3
ATM	Atm
ATMIN	Atmin
ATN1	Atn1
ATOH1	Atoh1
ATOH7	Atoh7
ATOH8	Atoh8
ATOX1	Atox1
ATP10A	Atp10a
ATP10B	Atp10b
ATP11A	Atp11a
ATP11B	Atp11b
ATP11C	Atp11c
ATP12A	Atp12a
ATP13A1	Atp13a1
ATP13A2	Atp13a2
ATP13A3	Atp13a3
ATP13A4	Atp13a4
ATP13A5	Atp13a5
ATP1A1	Atp1a1
ATP1A2	Atp1a2
ATP1A3	Atp1a3
ATP1A4	Atp1a4
ATP1B1	Atp1b1
ATP1B2	Atp1b2
ATP1B3	Atp1b3
ATP1B4	Atp1b4
ATP2A1	Atp2a1
ATP2A2	Atp2a2
ATP2A3	Atp2a3
ATP2B1	Atp2b1
ATP2B2	Atp2b2
ATP2B3	Atp2b3
ATP2B4	Atp2b4
ATP2C1	Atp2c1
ATP2C2	Atp2c2
ATP4A	Atp4a
ATP4B	Atp4b
ATP5A1	Atp5a1
ATP5B	Atp5b
ATP5C1	Atp5c1
ATP5D	Atp5d
ATP5F1	Atp5f1
ATP5G1	Atp5g1
ATP5G3	Atp5g3
ATP5I	Atp5k
ATP5J	Atp5j
ATP5J2	Atp5j2
ATP5S	Atp5s
ATP5SL	Atp5sl
ATP6AP1	Atp6ap1
ATP6AP1L	Atp6ap1l
ATP6AP2	Atp6ap2
ATP6V0A1	Atp6v0a1
ATP6V0A2	Atp6v0a2
ATP6V0A4	Atp6v0a4
ATP6V0B	Atp6v0b
ATP6V0C	Atp6v0c
ATP6V0D1	Atp6v0d1
ATP6V0D2	Atp6v0d2
ATP6V0E1	Atp6v0e
ATP6V0E2	Atp6v0e2
ATP6V1A	Atp6v1a
ATP6V1B1	Atp6v1b1
ATP6V1B2	Atp6v1b2
ATP6V1C1	Atp6v1c1
ATP6V1C2	Atp6v1c2
ATP6V1D	Atp6v1d
ATP6V1E1	Atp6v1e1
ATP6V1E2	Atp6v1e2
ATP6V1G1	Atp6v1g1
ATP6V1G3	Atp6v1g3
ATP6V1H	Atp6v1h
ATP7A	Atp7a
ATP7B	Atp7b
ATP8A1	Atp8a1
ATP8A2	Atp8a2
ATP8B1	Atp8b1
ATP8B2	Atp8b2
ATP8B3	Atp8b3
ATP8B4	Atp8b4
ATP9A	Atp9a
ATP9B	Atp9b
ATPAF1	Atpaf1
ATPAF2	Atpaf2
ATPIF1	Atpif1
ATR	Atr
ATRIP	Atrip
ATRN	Atrn
ATRNL1	Atrnl1
ATRX	Atrx
ATXN1	Atxn1
ATXN10	Atxn10
ATXN1L	Atxn1l
ATXN2	Atxn2
ATXN2L	Atxn2l
ATXN7	Atxn7
ATXN7L1	Atxn7l1
ATXN7L2	Atxn7l2
ATXN7L3	Atxn7l3
ATXN7L3B	Atxn7l3b
AUH	Auh
AUP1	Aup1
AURKA	Aurka
AURKAIP1	Aurkaip1
AURKB	Aurkb
AURKC	Aurkc
AUTS2	Auts2
AVEN	Aven
AVIL	Avil
AVL9	Avl9
AVP	Avp
AVPI1	Avpi1
AVPR1A	Avpr1a
AVPR1B	Avpr1b
AVPR2	Avpr2
AWAT1	Awat1
AWAT2	Awat2
AXIN1	Axin1
AXIN2	Axin2
AXL	Axl
AZGP1	Azgp1
AZI1	Azi1
AZI2	Azi2
AZIN1	Azin1
B2M	B2m
B3GALNT1	B3galnt1
B3GALNT2	B3galnt2
B3GALT1	B3galt1
B3GALT2	B3galt2
B3GALT4	B3galt4
B3GALT5	B3galt5
B3GALT6	B3galt6
B3GALTL	B3galtl
B3GAT1	B3gat1
B3GAT2	B3gat2
B3GAT3	B3gat3
B3GNT1	B3gnt1
B3GNT2	B3gnt2
B3GNT3	B3gnt3
B3GNT4	B3gnt4
B3GNT5	B3gnt5
B3GNT6	B3gnt6
B3GNT7	B3gnt7
B3GNT8	B3gnt8
B3GNT9	B3gnt9-ps
B3GNTL1	B3gntl1
B4GALNT1	B4galnt1
B4GALNT2	B4galnt2
B4GALNT3	B4galnt3
B4GALNT4	B4galnt4
B4GALT1	B4galt1
B4GALT2	B4galt2
B4GALT3	B4galt3
B4GALT4	B4galt4
B4GALT5	B4galt5
B4GALT6	B4galt6
B4GALT7	B4galt7
B9D1	B9d1
B9D2	B9d2
BAALC	Baalc
BAAT	Baat
BACE1	Bace1
BACE2	Bace2
BACH1	Bach1
BACH2	Bach2
BAD	Bad
BAG2	Bag2
BAG3	Bag3
BAG4	Bag4
BAG5	Bag5
BAHCC1	Bahcc1
BAHD1	Bahd1
BAI1	Bai1
BAI2	Bai2
BAI3	Bai3
BAIAP2	Baiap2
BAIAP2L1	Baiap2l1
BAIAP2L2	Baiap2l2
BAIAP3	Baiap3
BAK1	Bak1
BAMBI	Bambi
BANF1	Banf1
BANF2	Banf2
BANK1	Bank1
BAP1	Bap1
BARD1	Bard1
BARHL1	Barhl1
BARHL2	Barhl2
BARX1	Barx1
BARX2	Barx2
BASP1	Basp1
BATF	Batf
BATF2	Batf2
BATF3	Batf3
BAX	Bax
BAZ1A	Baz1a
BAZ1B	Baz1b
BAZ2A	Baz2a
BAZ2B	Baz2b
BBOX1	Bbox1
BBS1	Bbs1
BBS10	Bbs10
BBS12	Bbs12
BBS2	Bbs2
BBS4	Bbs4
BBS7	Bbs7
