#mm9.knownGene.name	mm9.knownGene.chrom	mm9.knownGene.txStart	mm9.knownGene.txEnd	mm9.kgXref.geneSymbol	mm9.knownToEnsembl.value
uc007afu.2	chr1	6260758	6266185	CC1	ENSMUST00000027040
uc007afv.2	chr1	6349411	6384812	Fam150a	ENSMUST00000133144
uc007afw.1	chr1	6477311	6851021	St18	ENSMUST00000140079
uc007afx.1	chr1	6477311	6851021	St18	ENSMUST00000140079
uc007afy.1	chr1	6720131	6851021	St18	ENSMUST00000043578
uc007afz.1	chr1	6720131	6851021	St18	ENSMUST00000043578
uc007aga.1	chr1	6720131	6851021	St18	ENSMUST00000043578
uc007agb.1	chr1	7079000	7163709	Pcmtd1	ENSMUST00000061280
uc007agc.1	chr1	7079000	7163709	Pcmtd1	ENSMUST00000061280
uc011why.1	chr1	7079000	7163709	Pcmtd1	ENSMUST00000061280
uc007agd.1	chr1	7150165	7163709	Pcmtd1	ENSMUST00000061280
uc007age.1	chr1	7339486	7387950	AK043789	ENSMUST00000138711
uc007agf.1	chr1	7365968	7387950	AK142999	ENSMUST00000138711
uc007agg.1	chr1	8352741	8460600	Sntg1	ENSMUST00000132064
uc007agh.1	chr1	8352741	9289811	Sntg1	ENSMUST00000140302
uc007agi.1	chr1	8352741	9289811	Sntg1	ENSMUST00000140302
uc007agj.1	chr1	8352741	9289811	Sntg1	ENSMUST00000140302
uc011whz.1	chr1	8352741	9289811	Sntg1	ENSMUST00000140302
uc011wia.1	chr1	8644100	8644126	AB338586	n/a
uc011wib.1	chr1	8940644	9289811	Sntg1	ENSMUST00000140302
uc007agk.2	chr1	9535488	9537536	Rrs1	ENSMUST00000072079
uc007agl.2	chr1	9538126	9568049	Adhfe1	ENSMUST00000144177
uc007agm.2	chr1	9538126	9568049	Adhfe1	ENSMUST00000144177
uc011wic.1	chr1	9538126	9570754	Adhfe1	ENSMUST00000144177
uc007agn.2	chr1	9550913	9621173	2610203C22Rik	ENSMUST00000115480
uc007ago.2	chr1	9591103	9621173	2610203C22Rik	ENSMUST00000153239
uc007agp.1	chr1	9591347	9617223	3110035E14Rik	ENSMUST00000088666
uc007agq.1	chr1	9658915	9690290	Mybl1	ENSMUST00000088658
uc007agr.1	chr1	9710619	9714418	AK031819	ENSMUST00000057438
uc007ags.1	chr1	9713277	9738463	Vcpip1	ENSMUST00000057438
uc007agt.1	chr1	9737728	9782003	AK006607	ENSMUST00000135143
uc007agu.1	chr1	9788210	9892649	Sgk3	ENSMUST00000168907
uc007agv.1	chr1	9788210	9892649	Sgk3	ENSMUST00000166384
uc011wid.1	chr1	9788210	9892649	Cisk	ENSMUST00000168907
uc007agw.1	chr1	9788210	9892649	Sgk3	ENSMUST00000168907
uc007agx.1	chr1	9838361	9892649	Sgk3	ENSMUST00000171265
uc007agy.1	chr1	9838477	9892649	Sgk3	ENSMUST00000171265
uc007agz.1	chr1	9898718	9912606	6030422M02Rik	ENSMUST00000052843
uc011wie.1	chr1	9898718	9931035	6030422M02Rik	ENSMUST00000171802
uc007aha.1	chr1	9932105	9934199	Snhg6	ENSMUST00000175437
uc011wif.1	chr1	9932550	9932624	Snord87	ENSMUST00000175437
uc007ahb.1	chr1	9958706	9999211	Lrrc67	ENSMUST00000027049
uc007ahc.1	chr1	9958706	9999211	Lrrc67	ENSMUST00000027049
uc007ahd.1	chr1	9985143	9999211	Lrrc67	ENSMUST00000155163
uc007ahe.1	chr1	10014911	10027979	Cops5	ENSMUST00000027050
uc007ahf.1	chr1	10021000	10027979	Cops5	ENSMUST00000139578
uc007ahg.1	chr1	10028298	10050540	Cspp1	ENSMUST00000143606
uc007ahh.1	chr1	10028298	10058057	Cspp1	ENSMUST00000118263
uc007ahi.1	chr1	10028298	10126849	Cspp1	ENSMUST00000071087
uc007ahj.1	chr1	10029853	10058057	Cspp1	ENSMUST00000122156
uc007ahk.1	chr1	10029853	10058057	Cspp1	ENSMUST00000118263
uc007ahl.1	chr1	10029853	10058057	Cspp1	ENSMUST00000118263
uc007ahm.1	chr1	10032921	10039091	AK076931	n/a
uc011wig.1	chr1	10035156	10078265	Cspp1	ENSMUST00000071087
uc011wih.1	chr1	10036573	10126849	Cspp1	ENSMUST00000071087
uc007ahn.1	chr1	10127587	10222751	Arfgef1	ENSMUST00000088615
uc007aho.1	chr1	10146479	10150141	AK134369	ENSMUST00000156563
uc007ahp.1	chr1	10163155	10206640	Arfgef1	ENSMUST00000131556
uc007ahq.1	chr1	10314807	10710024	Cpa6	ENSMUST00000035577
uc007ahr.1	chr1	10314807	10710024	Cpa6	ENSMUST00000153695
uc007ahs.2	chr1	10983545	11293763	Prex2	ENSMUST00000027056
uc007aht.1	chr1	11088543	11140152	Prex2	ENSMUST00000027056
uc007ahu.1	chr1	11130771	11150677	Prex2	ENSMUST00000027056
uc007ahv.2	chr1	11254043	11293763	Prex2	ENSMUST00000027056
uc011wii.1	chr1	11404185	11586398	A830018L16Rik	ENSMUST00000048613
uc007ahy.2	chr1	11404185	11591902	A830018L16Rik	ENSMUST00000135014
uc007ahw.2	chr1	11404185	11591902	A830018L16Rik	ENSMUST00000135014
uc007ahx.2	chr1	11404185	11965983	A830018L16Rik	ENSMUST00000048613
uc011wij.1	chr1	11404185	11965983	A830018L16Rik	ENSMUST00000137824
uc011wik.1	chr1	11404185	11965983	A830018L16Rik	ENSMUST00000137824
uc007ahz.1	chr1	11586231	11923821	A830018L16Rik	ENSMUST00000141512
uc007aia.2	chr1	12682510	12850453	Sulf1	ENSMUST00000088585
uc007aib.2	chr1	12682510	12850453	Sulf1	ENSMUST00000088585
uc007aic.1	chr1	12708625	12812997	Sulf1	ENSMUST00000088585
uc007aid.1	chr1	12708625	12850453	Sulf1	ENSMUST00000088585
uc007aie.1	chr1	12832729	12850453	Sulf1	ENSMUST00000088585
uc007aif.1	chr1	12856630	12981216	Slco5a1	ENSMUST00000115403
uc007aig.1	chr1	12868675	12981044	Slco5a1	ENSMUST00000136197
uc007aih.1	chr1	12868675	12981044	Slco5a1	ENSMUST00000136197
uc007aii.1	chr1	12868675	12981216	Slco5a1	ENSMUST00000136197
uc007aik.1	chr1	13103508	13117244	Prdm14	ENSMUST00000047577
uc007ail.1	chr1	13129239	13362520	Ncoa2	ENSMUST00000081713
uc007aim.1	chr1	13129239	13364164	Ncoa2	ENSMUST00000068304
uc007ain.1	chr1	13129239	13364164	Ncoa2	ENSMUST00000068304
uc007aio.1	chr1	13154581	13364164	Ncoa2	ENSMUST00000147927
uc007aip.1	chr1	13156005	13364164	Ncoa2	ENSMUST00000143603
uc007aiq.1	chr1	13172364	13362520	Ncoa2	ENSMUST00000139970
uc007air.1	chr1	13174686	13364164	Ncoa2	ENSMUST00000124088
uc007ais.1	chr1	13333668	13337135	AK171953	ENSMUST00000124088
uc007ait.1	chr1	13554782	13579945	Tram1	ENSMUST00000027068
uc007aiu.1	chr1	13615979	13650590	Lactb2	ENSMUST00000027071
uc007aiv.1	chr1	13658851	13691804	Xkr9	ENSMUST00000088542
uc011wil.1	chr1	13775765	13777010	Gm5523	n/a
uc007aiw.1	chr1	14159038	14294651	Eya1	ENSMUST00000027066
uc007aix.1	chr1	14159038	14300280	Eya1	ENSMUST00000027066
uc007aiy.1	chr1	14159038	14300280	Eya1	ENSMUST00000027066
uc007aiz.1	chr1	14159038	14300280	Eya1	ENSMUST00000027066
uc007aja.1	chr1	14743428	14746047	Msc	ENSMUST00000027062
uc007ajb.1	chr1	14746275	14767012	AK080352	ENSMUST00000067599
uc007ajc.1	chr1	14862728	14908943	Trpa1	ENSMUST00000041447
uc007ajd.1	chr1	15258710	15258997	AK195788	ENSMUST00000086739
uc007aje.1	chr1	15302532	15704295	Kcnb2	ENSMUST00000171715
uc007ajf.1	chr1	15795738	15812094	Terf1	ENSMUST00000027057
uc007ajg.1	chr1	15795738	15812184	Terf1	ENSMUST00000027057
uc007ajh.1	chr1	15795738	15833510	Terf1	ENSMUST00000027057
uc007aji.1	chr1	15795738	15833510	Terf1	ENSMUST00000027057
uc007ajj.1	chr1	15843942	15882803	Gm106	ENSMUST00000040695
uc007ajk.1	chr1	16056059	16083406	AK015384	ENSMUST00000145070
uc007ajl.2	chr1	16091375	16094514	Rpl7	ENSMUST00000058437
uc007ajm.1	chr1	16095962	16122631	Rdh10	ENSMUST00000027053
uc007ajn.2	chr1	16218890	16509383	Stau2	ENSMUST00000162751
uc007ajo.2	chr1	16218890	16509383	Stau2	ENSMUST00000027052
uc007ajq.2	chr1	16334278	16509383	Stau2	ENSMUST00000128957
uc007ajr.2	chr1	16449795	16509383	Stau2	ENSMUST00000115359
uc007ajs.1	chr1	16530870	16609367	Ube2w	ENSMUST00000117146
uc007ajt.1	chr1	16559486	16609367	Ube2w	ENSMUST00000117146
uc007aju.1	chr1	16574238	16609367	Ube2w	ENSMUST00000136455
uc007ajv.1	chr1	16632845	16646946	Tceb1	ENSMUST00000115352
uc007ajw.1	chr1	16632845	16647123	Tceb1	ENSMUST00000115352
uc007ajx.1	chr1	16655271	16668356	Tmem70	ENSMUST00000065373
uc007ajy.1	chr1	16655271	16668356	Tmem70	ENSMUST00000065373
uc007ajz.2	chr1	16678536	16699686	Ly96	ENSMUST00000026881
uc011wim.1	chr1	16678536	16699686	Ly96	ENSMUST00000026881
uc007aka.1	chr1	16987544	17087879	Jph1	ENSMUST00000038382
uc007akb.2	chr1	17135453	17148825	Gdap1	ENSMUST00000150457
uc007akc.2	chr1	17135453	17154351	Gdap1	ENSMUST00000026879
uc007akd.1	chr1	17158485	17163184	AK135932	n/a
uc007ake.2	chr1	17591981	17621020	Pi15	ENSMUST00000088476
uc007akf.1	chr1	17666107	17717727	AK038933	ENSMUST00000155588
uc007akg.1	chr1	17717132	17756288	Crispld1	ENSMUST00000095075
uc007akh.1	chr1	17717497	17756288	Crispld1	ENSMUST00000095075
uc007aki.1	chr1	18105271	18127133	Crisp4	ENSMUST00000026876
uc007akj.1	chr1	18105271	18135983	Crisp4	ENSMUST00000026876
uc007akk.1	chr1	18105271	18135983	Crisp4	ENSMUST00000026876
uc007akl.1	chr1	18200133	18213645	Defb49	ENSMUST00000126871
uc007akm.1	chr1	18226553	18227524	Defb18	ENSMUST00000097818
uc007akn.2	chr1	18241058	18255219	Defb41	ENSMUST00000088463
uc007ako.1	chr1	18250604	18255219	Gm15386	ENSMUST00000097817
uc007akp.1	chr1	19093102	19156413	Tcfap2d	ENSMUST00000037294
uc007akq.1	chr1	19198994	19228164	Tcfap2b	ENSMUST00000027059
uc007akr.1	chr1	19198994	19228815	Tcfap2b	ENSMUST00000027059
uc007aks.1	chr1	19202134	19204523	Tcfap2b	ENSMUST00000064976
uc007akt.1	chr1	19202134	19228815	Tcfap2b	ENSMUST00000064976
uc007aku.1	chr1	19204007	19228815	Tcfap2b	ENSMUST00000027059
uc007akv.1	chr1	20047859	20608138	Pkhd1	ENSMUST00000088448
uc007akw.1	chr1	20583033	20608138	Pkhd1	ENSMUST00000147480
uc007akx.1	chr1	20596410	20608138	Pkhd1	ENSMUST00000128051
uc011win.1	chr1	20669090	20672968	Mir206	ENSMUST00000083546
uc007aky.1	chr1	20720985	20724577	Il17a	ENSMUST00000027061
uc007akz.1	chr1	20767229	20769635	Il17f	ENSMUST00000039046
uc007ala.1	chr1	20767229	20774351	Il17f	ENSMUST00000039046
uc007alb.1	chr1	20793092	20793462	AK205147	n/a
uc007alc.1	chr1	20793094	20810294	Mcm3	ENSMUST00000053266
uc007ald.1	chr1	20880702	20928837	Paqr8	ENSMUST00000068880
uc007ale.1	chr1	20907920	20928837	Paqr8	ENSMUST00000068880
uc007alf.2	chr1	20941706	20980922	Efhc1	ENSMUST00000038447
uc007alg.1	chr1	20991458	21069306	Tram2	ENSMUST00000037998
uc007alh.1	chr1	21156578	21177708	AK138554	n/a
uc007ali.1	chr1	21208711	21220245	Tmem14a	ENSMUST00000027064
uc007alj.1	chr1	21208711	21220248	Tmem14a	ENSMUST00000027065
uc007alk.1	chr1	21230669	21255640	Gsta3	ENSMUST00000027067
uc007all.1	chr1	21230669	21255640	Gsta3	ENSMUST00000027067
uc007alm.1	chr1	21275326	21288393	Gm4956	ENSMUST00000082032
uc007aln.1	chr1	21339757	21342280	Khdc1a	ENSMUST00000088407
uc007alo.1	chr1	21358411	21359824	Khdc1c	ENSMUST00000070223
uc007alp.2	chr1	21373636	21376465	Khdc1b	ENSMUST00000166217
uc011wio.1	chr1	21388483	21952023	Kcnq5	ENSMUST00000115300
uc007alq.2	chr1	21388483	21952023	Kcnq5	ENSMUST00000115300
uc009uzv.1	chr1	21414129	21477414	Kcnq5	ENSMUST00000174183
uc007alr.1	chr1	22278502	22305924	Rims1	ENSMUST00000164877
uc007als.1	chr1	22278502	22812563	Rims1	ENSMUST00000097811
uc007alt.1	chr1	22278502	22812563	Rims1	ENSMUST00000097810
uc007alu.1	chr1	22278502	22812563	Rims1	ENSMUST00000097809
uc007alv.1	chr1	22278502	22812563	Rims1	ENSMUST00000115273
uc007alw.1	chr1	22278502	22812563	Rims1	ENSMUST00000081544
uc007alx.1	chr1	22475029	22516186	mKIAA0340	ENSMUST00000097808
uc007aly.1	chr1	22600114	22812563	Rims1	ENSMUST00000097808
uc007alz.1	chr1	23107312	23109092	4933415F23Rik	ENSMUST00000073179
uc011wip.1	chr1	23279107	23279178	Mir30a	ENSMUST00000083471
uc007ama.2	chr1	23298539	23298623	Mir30c-2	ENSMUST00000083633
uc007amb.1	chr1	23373262	23390014	Ogfrl1	ENSMUST00000027343
uc007amc.1	chr1	23398587	23404611	AK090150	n/a
uc007amd.1	chr1	23768764	23822579	B3gat2	ENSMUST00000140583
uc007ame.1	chr1	23768764	23854697	B3gat2	ENSMUST00000063663
uc007amf.1	chr1	23851684	23916575	Smap1	ENSMUST00000149737
uc007amg.1	chr1	23852465	23916575	Smap1	ENSMUST00000027339
uc007amh.1	chr1	23852465	23929128	Smap1	ENSMUST00000027339
uc007ami.1	chr1	23855633	23916575	Smap1	ENSMUST00000133398
uc007amj.2	chr1	24002777	24012479	1110058L19Rik	ENSMUST00000027338
uc011wiq.1	chr1	24017596	24037367	Fam135a	ENSMUST00000027337
uc007amk.2	chr1	24017596	24037403	Fam135a	ENSMUST00000027337
uc007aml.2	chr1	24017596	24107180	Fam135a	ENSMUST00000027337
uc007amn.2	chr1	24058602	24107180	Fam135a	ENSMUST00000097806
uc007amo.2	chr1	24184448	24259577	Col9a1	ENSMUST00000054588
uc007amp.2	chr1	24202068	24259577	Col9a1	ENSMUST00000088349
uc011wir.1	chr1	24264521	24459584	Col19a1	ENSMUST00000144297
uc007amq.1	chr1	24264521	24594276	Col19a1	ENSMUST00000144297
uc007amr.1	chr1	24286608	24594276	Col19a1	ENSMUST00000051344
uc007ams.1	chr1	24620809	24621651	Atpase6	ENSMUST00000164707
uc007amt.1	chr1	24685382	24823146	Lmbrd1	ENSMUST00000095062
uc007amu.1	chr1	24685764	24823146	Lmbrd1	ENSMUST00000095062
uc007amv.2	chr1	25124320	25285945	Bai3	ENSMUST00000153568
uc007amw.2	chr1	25124320	25883620	Bai3	ENSMUST00000135518
uc011wis.1	chr1	25124320	25886552	Bai3	ENSMUST00000151309
uc007amy.1	chr1	25148298	25285945	Bai3	ENSMUST00000126096
uc011wit.1	chr1	25991152	25991180	AB349959	n/a
uc007amz.2	chr1	26738645	26744305	4931408C20Rik	ENSMUST00000097801
uc007ana.1	chr1	27940890	27959032	AK050085	n/a
uc007anb.1	chr1	28832966	28837097	Gm597	ENSMUST00000059937
uc007anc.1	chr1	30775398	30776806	AK087209	ENSMUST00000065469
uc007and.1	chr1	30827176	30827640	AK188812	n/a
uc007ane.1	chr1	30859186	30920101	Phf3	ENSMUST00000088310
uc007anf.1	chr1	30870415	30930717	Phf3	ENSMUST00000046443
uc007ang.1	chr1	30872159	30930717	Phf3	ENSMUST00000046443
uc007anh.1	chr1	30997147	31006600	Ptp4a1	ENSMUST00000027232
uc007ani.1	chr1	30997147	31006600	Ptp4a1	ENSMUST00000027232
uc007anj.2	chr1	31197922	31279501	4931428L18Rik	ENSMUST00000127775
uc007ank.1	chr1	31233279	31261570	Lgsn	ENSMUST00000062560
uc007anl.2	chr1	31259786	31279501	4931428L18Rik	ENSMUST00000135245
uc007anm.1	chr1	31279683	31281132	4930521A18Rik	ENSMUST00000027230
uc011wiu.1	chr1	31321691	31324906	Gm4850	n/a
uc007ann.1	chr1	32229650	32303717	Slm1	ENSMUST00000027226
uc007ano.1	chr1	32229650	32395186	Khdrbs2	ENSMUST00000027226
uc007anp.1	chr1	32229650	32714583	Khdrbs2	ENSMUST00000027226
uc011wiv.1	chr1	32576407	32577844	Gm9839	ENSMUST00000050429
uc011wiw.1	chr1	32600390	32604138	Gm5415	ENSMUST00000171322
uc007anq.1	chr1	33510655	33726603	Prim2	ENSMUST00000027312
uc007anr.1	chr1	33535786	33678987	Prim2	ENSMUST00000097795
uc007ans.1	chr1	33539198	33539228	DQ714940	n/a
uc007ant.2	chr1	33726668	33727557	1700001G17Rik	ENSMUST00000051203
uc007anu.1	chr1	33776740	33783736	Rab23	ENSMUST00000140354
uc007anv.1	chr1	33776740	33792199	Rab23	ENSMUST00000151482
uc007anw.2	chr1	33776740	33799409	Rab23	ENSMUST00000088287
uc007anx.2	chr1	33776740	33799409	Rab23	ENSMUST00000138024
uc011wix.1	chr1	33777263	33799409	Rab23	ENSMUST00000088287
uc007any.1	chr1	33802328	33814595	Bag2	ENSMUST00000044691
uc007anz.1	chr1	33818597	33871272	Zfp451	ENSMUST00000019861
uc007aoa.1	chr1	33818597	33871272	Znf451	ENSMUST00000019861
uc007aob.1	chr1	33858804	33871272	Zfp451	ENSMUST00000044455
uc011wiy.1	chr1	33892743	33895759	Gm15455	ENSMUST00000171875
uc007aoc.1	chr1	33908896	33964466	Bend6	ENSMUST00000062289
uc007aod.1	chr1	33908896	33964466	Bend6	ENSMUST00000115161
uc011wiz.1	chr1	33908896	33964466	Bend6	ENSMUST00000129464
uc007aoe.1	chr1	33920015	33940687	Bend6	ENSMUST00000126724
uc007aof.1	chr1	33965069	34220316	Bpag1	ENSMUST00000088270
uc007aog.1	chr1	34062727	34193980	Bpag1	ENSMUST00000088270
uc007aoh.1	chr1	34062994	34193980	Bpag1	ENSMUST00000088270
uc007aoi.1	chr1	34068669	34365497	Dst	ENSMUST00000097785
uc007aoj.1	chr1	34068669	34365497	Dst	ENSMUST00000097786
uc007aok.1	chr1	34178426	34209364	Dst	ENSMUST00000115102
uc007aol.1	chr1	34217176	34240121	Dst	ENSMUST00000027309
uc007aom.1	chr1	34272113	34286091	Bpag1	ENSMUST00000097786
uc007aon.1	chr1	34282353	34319096	Dst	ENSMUST00000088216
uc007aoo.1	chr1	34344031	34365497	Bpag1	ENSMUST00000115104
uc007aop.1	chr1	34347203	34365497	Bpag1	ENSMUST00000097789
uc011wja.1	chr1	34493514	34496517	Ccdc115	ENSMUST00000042493
uc007aor.2	chr1	34496673	34502592	Imp4	ENSMUST00000027303
uc007aos.1	chr1	34516590	34530624	Ptpn18	ENSMUST00000027302
uc007aot.1	chr1	34529580	34532578	Ptpn18	ENSMUST00000164433
uc007aou.1	chr1	34534219	34542456	AK016244	n/a
uc007aov.1	chr1	34555274	34559907	Prss39	ENSMUST00000027299
uc007aow.1	chr1	34592492	34601156	Cfc1	ENSMUST00000027298
uc011wjb.1	chr1	34600819	34617788	Tesp2	ENSMUST00000115071
uc007aox.1	chr1	34609176	34617788	Prss40	ENSMUST00000047840
uc011wjc.1	chr1	34636537	34647789	Fam123c	ENSMUST00000052670
uc007aoz.1	chr1	34657654	34657693	DQ558230	n/a
uc007apa.1	chr1	34657942	34657970	DQ551615	n/a
uc007apb.1	chr1	34658311	34658343	DQ713197	n/a
uc007apc.1	chr1	34659281	34659316	DQ540165	n/a
uc007apd.1	chr1	34663222	34663252	DQ688885	n/a
uc011wjd.1	chr1	34690379	34693055	AA619741	n/a
uc007ape.1	chr1	34735032	34781146	AK082264	ENSMUST00000159326
uc007apf.1	chr1	34778768	34869599	mKIAA1112	ENSMUST00000159747
uc007apg.1	chr1	34858566	34865756	Arhgef4	ENSMUST00000160855
uc007aph.1	chr1	34858566	34866063	Arhgef4	ENSMUST00000162760
uc007api.1	chr1	34858566	34869599	Arhgef4	ENSMUST00000047664
uc011wje.1	chr1	34870062	34899895	Fam168b	ENSMUST00000167518
uc007apj.2	chr1	34870062	34899895	Fam168b	ENSMUST00000170092
uc011wjf.1	chr1	34870062	34899895	Fam168b	ENSMUST00000170092
uc007apk.1	chr1	34906803	34930801	Plekhb2	ENSMUST00000156687
uc007apl.1	chr1	34906803	34936430	Plekhb2	ENSMUST00000027297
uc007apm.1	chr1	35936689	35937964	AK003327	n/a
uc007apn.2	chr1	36125244	36163291	Hs6st1	ENSMUST00000088174
uc007apo.2	chr1	36196872	36222656	Ugcgl1	ENSMUST00000046875
uc007app.2	chr1	36196872	36301147	Uggt1	ENSMUST00000046875
uc007apq.2	chr1	36196872	36301147	Uggt1	ENSMUST00000046875
uc007apr.2	chr1	36236098	36301147	Uggt1	ENSMUST00000174716
uc007aps.1	chr1	36321446	36330270	Neurl3	ENSMUST00000056946
uc007apt.1	chr1	36325801	36330270	Neurl3	ENSMUST00000056946
uc007apv.2	chr1	36364577	36380874	Arid5a	ENSMUST00000137906
uc007apx.2	chr1	36364577	36380874	Arid5a	ENSMUST00000137906
uc011wjg.1	chr1	36364577	36380874	Arid5a	ENSMUST00000137906
uc007apu.2	chr1	36364577	36380874	Arid5a	ENSMUST00000137906
uc007apw.2	chr1	36364577	36380874	Arid5a	ENSMUST00000137906
uc007apy.2	chr1	36364577	36380874	Arid5a	ENSMUST00000137906
uc011wjh.1	chr1	36364577	36380874	Arid5a	ENSMUST00000137906
uc011wji.1	chr1	36392574	36424859	Kiaa1310	ENSMUST00000010597
uc007apz.1	chr1	36392574	36424879	4632411B12Rik	ENSMUST00000010597
uc007aqa.1	chr1	36392574	36426026	4632411B12Rik	ENSMUST00000010597
uc011wjj.1	chr1	36392574	36426026	Kiaa1310	ENSMUST00000010597
uc007aqb.1	chr1	36473732	36478955	AK132955	ENSMUST00000140452
uc007aqc.1	chr1	36480030	36498424	Lman2l	ENSMUST00000134594
uc007aqd.1	chr1	36480030	36502084	Lman2l	ENSMUST00000125304
uc007aqe.1	chr1	36480030	36502084	Lman2l	ENSMUST00000115011
uc007aqf.1	chr1	36480030	36502084	Lman2l	ENSMUST00000001171
uc007aqg.2	chr1	36528441	36565621	Cnnm4	ENSMUST00000045383
uc007aqi.1	chr1	36568720	36585082	Cnnm3	ENSMUST00000097776
uc007aqj.1	chr1	36568720	36585082	Cnnm3	ENSMUST00000001166
uc007aqk.1	chr1	36568720	36585082	Cnnm3	ENSMUST00000001166
uc011wjk.1	chr1	36575796	36585082	Acdp3	ENSMUST00000001166
uc007aql.1	chr1	36587378	36592574	Ankrd23	ENSMUST00000054665
uc011wjl.1	chr1	36587378	36592574	Ankrd23	ENSMUST00000054665
uc007aqm.1	chr1	36587378	36593401	Ankrd23	ENSMUST00000054665
uc007aqn.1	chr1	36587378	36596203	Ankrd23	ENSMUST00000045120
uc007aqo.1	chr1	36595017	36604046	Ankrd39	ENSMUST00000001172
uc011wjm.1	chr1	36595017	36604046	Ankrd39	ENSMUST00000001172
uc007aqp.1	chr1	36595017	36604064	Ankrd39	ENSMUST00000001172
uc007aqq.2	chr1	36605486	36614402	Sema4c	ENSMUST00000027295
uc007aqr.2	chr1	36605486	36615226	Sema4c	ENSMUST00000114991
uc007aqs.2	chr1	36612776	36615226	mKIAA1739	ENSMUST00000154493
uc007aqu.2	chr1	36619540	36650177	Fam178b	ENSMUST00000128412
uc011wjn.1	chr1	36619540	36740028	Fam178b	ENSMUST00000170295
uc007aqv.2	chr1	36656818	36740028	Fam178b	ENSMUST00000114981
uc007aqw.1	chr1	36748331	36750233	Cox5b	ENSMUST00000081180
uc007aqx.1	chr1	36756046	36766770	Actr1b	ENSMUST00000043951
uc007aqy.1	chr1	36771382	36814798	AK016893	n/a
uc007aqz.1	chr1	36818705	36839661	Zap70	ENSMUST00000027291
uc007ara.1	chr1	36835828	36839661	Zap70	ENSMUST00000027291
uc007arb.1	chr1	36836498	36839661	Zap70	ENSMUST00000070299
uc007arc.1	chr1	36849033	36865321	Tmem131	ENSMUST00000027290
uc007ard.1	chr1	36849033	36996372	Tmem131	ENSMUST00000027290
uc007are.1	chr1	37086160	37120494	Vwa3b	ENSMUST00000124404
uc011wjo.1	chr1	37086160	37133840	Vwa3b	ENSMUST00000067178
uc007arf.1	chr1	37086160	37133840	Vwa3b	ENSMUST00000067178
uc011wjp.1	chr1	37214177	37244450	4921511C04Rik	ENSMUST00000169057
uc007arh.2	chr1	37232330	37244450	4921511C04Rik	ENSMUST00000169057
uc007ari.1	chr1	37276105	37320229	Cnga3	ENSMUST00000027288
uc007arj.1	chr1	37356737	37359647	AK051424	ENSMUST00000146676
uc007ark.1	chr1	37356737	37456402	Inpp4a	ENSMUST00000168546
uc007arl.2	chr1	37356737	37467580	Inpp4a	ENSMUST00000027287
uc007arm.1	chr1	37390383	37391017	AK019601	ENSMUST00000141402
uc007arn.1	chr1	37426065	37461284	Inpp4a	ENSMUST00000114933
uc011wjq.1	chr1	37426065	37461284	Inpp4a	ENSMUST00000114933
